target,launched,destroyed
Chernihiv oblast,2.0,0.0
Kharkiv,1.0,0.0
Odesa oblast,51.0,32.0
,1.0,1.0
,1.0,1.0
Mykolaiv oblast,1.0,0.0
,3.0,3.0
,1.0,1.0
,1.0,1.0
,10.0,10.0
Odesa oblast,2.0,0.0
Odesa oblast,1.0,0.0
,2.0,2.0
,2.0,2.0
,1.0,1.0
Odesa oblast,2.0,2.0
Dnipropetrovsk oblast,1.0,0.0
,1.0,1.0
Odesa oblast,3.0,1.0
,1.0,1.0
,1.0,1.0
Kherson,2.0,0.0
Kramatorsk,2.0,0.0
Odesa oblast,8.0,2.0
Odesa oblast,2.0,0.0
Sumy oblast,1.0,0.0
,1.0,1.0
,2.0,2.0
,9.0,9.0
Kryvyi Rih,1.0,0.0
Odesa oblast,2.0,0.0
,1.0,1.0
,5.0,5.0
Kyiv oblast and Odesa oblast,80.0,41.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
Odesa oblast,1.0,1.0
Dnipro and Sumy oblast,2.0,0.0
Dnipro and Sumy oblast,2.0,0.0
Dnipro and Sumy oblast,3.0,0.0
Kyiv oblast and Odesa oblast,63.0,36.0
,2.0,0.0
,2.0,0.0
Odesa oblast,1.0,0.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
Odesa oblast,1.0,0.0
Odesa oblast,1.0,0.0
,1.0,0.0
Kryvyi Rih,2.0,0.0
Odesa oblast,6.0,4.0
Chernihiv oblast,1.0,0.0
Donetsk oblast,1.0,0.0
Chernihiv oblast and Sumy oblast,2.0,0.0
Mykolaiv oblast,7.0,0.0
Mykolaiv oblast,1.0,0.0
,1.0,1.0
Odesa oblast,2.0,0.0
Kherson oblast,16.0,0.0
Odesa oblast,1.0,0.0
Chernihiv oblast and Sumy oblast,2.0,0.0
Poltava oblast,1.0,0.0
Odesa oblast,1.0,0.0
,1.0,0.0
,1.0,0.0
Mykolaiv oblast,2.0,0.0
Odesa oblast,1.0,0.0
Odesa oblast,2.0,0.0
,3.0,0.0
,4.0,4.0
,1.0,1.0
,3.0,3.0
Poltava oblast,3.0,0.0
,2.0,2.0
,1.0,1.0
,1.0,1.0
Odesa oblast,2.0,0.0
,1.0,1.0
,3.0,3.0
Kyiv oblast and Starokostiantyniv,3.0,2.0
Odesa oblast,2.0,0.0
,3.0,3.0
,1.0,1.0
Odesa oblast,1.0,0.0
,1.0,1.0
,1.0,1.0
Odesa oblast,1.0,0.0
,1.0,1.0
,1.0,1.0
,1.0,1.0
Kherson oblast,2.0,0.0
Sumy oblast,3.0,1.0
Odesa oblast,2.0,0.0
Starokostiantyniv,4.0,0.0
Snake Island,2.0,0.0
,1.0,0.0
,1.0,1.0
Starokostiantyniv,3.0,0.0
Odesa oblast,4.0,4.0
Sumy oblast,2.0,0.0
Odesa oblast,4.0,4.0
Kharkiv oblast,3.0,0.0
Kharkiv oblast,1.0,0.0
,2.0,2.0
,1.0,1.0
,1.0,1.0
,81.0,66.0
,4.0,4.0
,1.0,1.0
,11.0,11.0
Sumy oblast,4.0,3.0
,2.0,0.0
,5.0,5.0
Dnipropetrovsk oblast,4.0,0.0
Dnipropetrovsk oblast,1.0,1.0
Donetsk oblast,3.0,0.0
,1.0,1.0
,7.0,7.0
Odesa oblast,1.0,0.0
,1.0,1.0
,3.0,0.0
,1.0,1.0
,1.0,1.0
Mykolaiv oblast,3.0,0.0
,1.0,1.0
Odesa oblast,2.0,0.0
,1.0,1.0
,2.0,2.0
,2.0,2.0
,1.0,1.0
Snake Island,2.0,0.0
Chernihiv oblast,2.0,0.0
,4.0,4.0
,1.0,1.0
,4.0,4.0
Odesa oblast,1.0,1.0
Chernihiv oblast,1.0,0.0
