time_start,target,launched,destroyed
2025-04-09 06:00:00,,1.0,1.0
2025-04-08 06:00:00,,2.0,2.0
2025-04-08 06:00:00,,4.0,4.0
2025-04-07 06:00:00,,3.0,3.0
2025-04-07 06:00:00,,5.0,5.0
2025-04-06 05:00:00,Kyiv oblast,6.0,1.0
2025-04-04 19:00:00,Kryvyi Rih,1.0,0.0
2025-04-04 06:00:00,,1.0,1.0
2025-04-01 06:00:00,,4.0,4.0
2025-04-01 06:00:00,,2.0,2.0
2025-03-31 21:00:00,Zaporizhzhia oblast,2.0,2.0
2025-03-31 06:00:00,,1.0,1.0
2025-03-31 06:00:00,,1.0,1.0
2025-03-30 06:00:00,,2.0,2.0
2025-03-28 06:00:00,,5.0,5.0
2025-03-28 06:00:00,,1.0,1.0
2025-03-27 06:00:00,,3.0,3.0
2025-03-27 06:00:00,,3.0,3.0
2025-03-26 06:00:00,,2.0,2.0
2025-03-26 06:00:00,,4.0,4.0
2025-03-24 18:00:00,Kherson oblast,1.0,0.0
2025-03-25 06:00:00,,1.0,1.0
2025-03-24 06:00:00,,1.0,1.0
2025-03-24 06:00:00,,1.0,1.0
2025-03-23 06:00:00,,2.0,2.0
2025-03-23 06:00:00,,1.0,1.0
2025-03-22 06:00:00,,5.0,5.0
2025-03-21 06:00:00,,1.0,1.0
2025-03-21 06:00:00,,1.0,1.0
2025-03-21 06:00:00,,1.0,1.0
2025-03-21 06:00:00,,2.0,2.0
2025-03-21 06:00:00,,3.0,3.0
2025-03-21 06:00:00,Odesa oblast,1.0,0.0
2025-03-20 06:00:00,,5.0,5.0
2025-03-20 06:00:00,,1.0,1.0
2025-03-20 06:00:00,,3.0,3.0
2025-03-20 06:00:00,,1.0,1.0
2025-03-20 06:00:00,,6.0,6.0
2025-03-19 06:00:00,,1.0,1.0
2025-03-19 06:00:00,,3.0,3.0
2025-03-19 06:00:00,,3.0,3.0
2025-03-19 06:00:00,,2.0,2.0
2025-03-17 06:00:00,,1.0,1.0
2025-03-16 06:00:00,,1.0,1.0
2025-03-16 06:00:00,,2.0,2.0
2025-03-16 06:00:00,,2.0,2.0
2025-03-14 19:30:00,Kryvyi Rih,2.0,0.0
2025-03-15 06:00:00,,1.0,1.0
2025-03-15 06:00:00,,1.0,1.0
2025-03-14 06:00:00,,1.0,1.0
2025-03-14 06:00:00,,1.0,1.0
2025-03-13 06:00:00,,1.0,1.0
2025-03-13 06:00:00,,1.0,1.0
2025-03-11 19:00:00,Kryvyi Rih,2.0,0.0
2025-03-11 19:00:00,Odesa,1.0,0.0
2025-03-12 06:00:00,,1.0,1.0
2025-03-12 06:00:00,,2.0,2.0
2025-03-11 06:00:00,,3.0,3.0
2025-03-10 06:00:00,,1.0,1.0
2025-03-10 06:00:00,,1.0,1.0
2025-03-09 06:00:00,,5.0,5.0
2025-03-09 06:00:00,,2.0,2.0
2025-03-09 06:00:00,,2.0,2.0
2025-03-08 06:00:00,Odesa oblast,1.0,0.0
2025-03-08 06:00:00,,2.0,2.0
2025-03-08 06:00:00,,2.0,2.0
2025-03-08 06:00:00,Mykolaiv oblast,1.0,0.0
2025-03-08 06:00:00,Kherson oblast,1.0,0.0
2025-03-07 06:00:00,,4.0,4.0
2025-03-06 06:00:00,,1.0,1.0
2025-03-05 06:00:00,,2.0,2.0
2025-03-05 06:00:00,,1.0,1.0
2025-03-01 06:00:00,,1.0,1.0
2025-03-01 06:00:00,,2.0,2.0
2025-03-01 06:00:00,Odesa,1.0,0.0
2025-02-28 06:00:00,,2.0,2.0
2025-02-28 06:00:00,,1.0,1.0
2025-02-28 06:00:00,,3.0,3.0
2025-02-28 06:00:00,Odesa oblast,1.0,0.0
2025-02-27 06:00:00,,1.0,1.0
2025-02-26 06:00:00,,1.0,1.0
2025-02-26 06:00:00,,2.0,2.0
2025-02-25 06:00:00,,1.0,1.0
2025-02-25 06:00:00,,4.0,4.0
2025-02-25 06:00:00,,1.0,1.0
2025-02-25 06:00:00,,3.0,3.0
2025-02-24 06:00:00,,1.0,1.0
2025-02-24 06:00:00,,1.0,1.0
2025-02-24 06:00:00,,1.0,1.0
2025-02-23 06:00:00,,1.0,1.0
2025-02-23 06:00:00,,2.0,2.0
2025-02-23 06:00:00,,1.0,1.0
2025-02-22 06:00:00,,1.0,1.0
2025-02-22 06:00:00,,1.0,1.0
2025-02-20 19:00:00,Odesa oblast,2.0,0.0
2025-02-21 06:00:00,,1.0,1.0
2025-02-21 06:00:00,,2.0,2.0
2025-02-20 06:00:00,Kharkiv oblast,14.0,
2025-02-20 06:00:00,,2.0,2.0
2025-02-18 20:00:00,Sumy oblast,2.0,0.0
2025-02-19 06:00:00,,1.0,1.0
2025-02-19 06:00:00,,2.0,2.0
2025-02-19 06:00:00,Mykolaiv oblast,2.0,0.0
2025-02-19 06:00:00,Mykolaiv oblast,1.0,1.0
2025-02-19 06:00:00,,2.0,2.0
2025-02-19 06:00:00,,1.0,1.0
2025-02-19 06:00:00,,1.0,1.0
2025-02-18 06:00:00,,1.0,1.0
2025-02-17 06:00:00,,2.0,2.0
2025-02-16 21:45:00,Odesa oblast,3.0,0.0
2025-02-16 04:30:00,Odesa oblast,2.0,0.0
2025-02-16 06:00:00,,2.0,2.0
2025-02-16 06:00:00,,1.0,1.0
2025-02-16 06:00:00,,2.0,2.0
2025-02-15 06:00:00,,1.0,1.0
2025-02-14 06:00:00,,1.0,1.0
2025-02-14 06:00:00,Mykolaiv oblast,2.0,0.0
2025-02-13 06:00:00,,2.0,2.0
2025-02-13 06:00:00,,3.0,3.0
2025-02-13 06:00:00,,1.0,1.0
2025-02-13 06:00:00,Odesa oblast,1.0,0.0
2025-02-12 04:30:00,Kyiv,5.0,5.0
2025-02-12 06:00:00,,1.0,1.0
2025-02-12 06:00:00,Mykolaiv oblast,1.0,0.0
2025-02-12 06:00:00,,1.0,1.0
2025-02-12 06:00:00,,1.0,1.0
2025-02-11 21:00:00,Kryvyi Rih,1.0,1.0
2025-02-11 06:00:00,Poltava oblast,19.0,
2025-02-11 06:00:00,,3.0,3.0
2025-02-11 06:00:00,,2.0,2.0
2025-02-11 06:00:00,,1.0,1.0
2025-02-11 06:00:00,,2.0,2.0
2025-02-10 06:00:00,,1.0,1.0
2025-02-10 06:00:00,Odesa oblast,3.0,0.0
2025-02-10 06:00:00,,3.0,3.0
2025-02-09 06:00:00,,2.0,2.0
2025-02-09 06:00:00,,1.0,1.0
2025-02-09 06:00:00,,2.0,2.0
2025-02-09 06:00:00,,4.0,4.0
2025-02-06 06:00:00,,1.0,1.0
2025-02-06 06:00:00,,1.0,1.0
